Alert,Gain +5 bonus to initiative and cant be surprised when conscious and standing up only takes 5 feet of movement
Charger, When you use the dash action you can use your bonus action to shove or make an attack. if you move at least 10 feet you gain plus 5 damage your attack to 10 feet to your shove
Crossbow Expert, you dont have to load Crossbows and you dont have gain disadvantage if your close to an hostile and you can fire a hand crossbow after attacking with a one haneded weapon
Defensive Duelist, when using a finesse weapon you can use your reaction to add your proficienty bonus to your ac when attack by a melee
Dual Wielder, gain +1 ac while dual wieling and you can use two non-light weapons and take them out at the same time
Dungeon Delver, gain advantage on perception and investigation checks and when avoid or resisting traps and traveling at a fast pace doesnt impose a penalty to your perception
Grappler, you have advantage on attack rolls when grappling and you can use your action to try to pin a creature to restrain them
Great Weapon Master, when you score a crit or kill something you can attack again as a bonus and you can take a -5 to your attack role to get +10 damage to your rolls
Healer, you can use healers kit to stablize a dying creature and heal it by 1 and heal it by 1d6 + 4
Inspiring Leader, you spend 10 mintues inspiring your party members to give them temporary hit points equal to your level + charisma mod
